Name,Power,Accuracy,Damage Class,Description,Effect
Anticura,,100.0,status,"Impide al objetivo usar movimientos, habilidades
y objetos equipados que recuperan PS durante
cinco turnos.","For the next five turns, the target may not use any moves that only restore HP, and move effects that heal the target are disabled.  Moves that steal HP may still be used, but will only inflict damage and not heal the target."
Estrujón,,100.0,special,"Estruja con fuerza al objetivo. Cuantos más PS
tenga el objetivo, más fuerza tendrá el ataque.","Inflicts regular damage.  Power directly relates to the target's relative remaining HP, given by `1 + 120 * current HP / max HP`, to a maximum of 121."
Truco Fuerza,,,status,"Usa sus poderes mentales para intercambiar su
característica de Ataque por Defensa.","The user's original Attack and Defense are swapped.

This effect is passed on by baton pass."
Bilis,,100.0,status,"El usuario arroja sus jugos biliares al objetivo, lo
que anula el efecto de la habilidad en uso.","The target's ability is disabled as long as it remains on the field.

This effect is passed on by baton pass."
Conjuro,,,status,"Lanza al cielo un conjuro que impide al objetivo
asestar golpes críticos.","For five turns, opposing Pokémon cannot score critical hits."
Yo Primero,,,status,"Se adelanta al movimiento que pretende usar el
objetivo y lo lanza antes con más fuerza. Si el
usuario es más lento, falla.","If the target has selected a damaging move this turn, the user will copy that move and use it against the target, with a 50% increase in power.

If the target moves before the user, this move will fail.

This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk."
Copión,,,status,"Imita el movimiento usado justo antes.
El movimiento falla si no se ha usado aún ninguno.","Uses the last move that was used successfully by any Pokémon, including the user.

This move cannot copy itself, nor roar nor whirlwind.

This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk."
Cambiafuerza,,,status,"El usuario emplea su poder mental para
intercambiar los cambios en Ataque y Ataque
Especial con el objetivo.",User swaps its Attack and Special Attack stat modifiers modifiers with the target.
Cambiadefensa,,,status,"El usuario emplea su poder mental para
intercambiar los cambios en Defensa y
Defensa Especial con el objetivo.",User swaps its Defense and Special Defense modifiers with the target.
Castigo,,100.0,physical,"La fuerza del ataque aumenta cuanto más se ha
fortalecido el objetivo con cambios de
características.","Inflicts regular damage.  Power starts at 60 and is increased by 20 for every stage any of the target's stats has been raised, capping at 200.  Accuracy and evasion modifiers do not increase this move's power."
Última Baza,140.0,100.0,physical,"Este movimiento solo puede utilizarse tras haber
usado al menos una vez todos los demás
conocidos por el Pokémon.","Inflicts regular damage.  This move can only be used if each of the user's other moves has been used at least once since the user entered the field.  If this is the user's only move, this move will fail."
Abatidoras,,100.0,status,"Se planta una semilla en el objetivo que le causa
pesar. Evita el sueño gracias a la habilidad
Insomnio.","Changes the target's ability to insomnia.

If the target's ability is truant or multitype, this move will fail."
Golpe Bajo,70.0,100.0,physical,"Permite atacar con prioridad. Falla si el objetivo no
está preparando ningún ataque.","Inflicts regular damage.  If the target has not selected a damaging move this turn, or if the target has already acted this turn, this move will fail.

This move is not affected by iron fist."
Púas Tóxicas,,,status,"Lanza una trampa de púas tóxicas a los pies del
objetivo. El veneno afecta a los Pokémon que
entran en combate.","Scatters poisoned spikes around the opposing field, which poison opposing Pokémon that enter the field.  A second layer of these spikes may be laid down, in which case Pokémon will be badly poisoned instead.  Pokémon immune to either ground moves or being poisoned are immune to this effect.  Pokémon otherwise immune to ground moves are affected during gravity.

If a poison Pokémon not immune to ground moves enters a field covered with poisoned spikes, the spikes are removed.

rapid spin will remove this effect from its user's side of the field.  defog will remove this effect from its target's side of the field.

This move does not trigger synchronize, unless the Pokémon with synchronize was forced to enter the field by another effect such as roar.

Pokémon entering the field due to baton pass are not affected by this effect."
Cambia Almas,,,status,"Usa la fuerza mental para intercambiar con el
objetivo los cambios en las características.",User swaps its stat modifiers with the target.
Acua Aro,,,status,"Un manto de agua cubre al Pokémon que lo usa.
Recupera algunos PS en cada turno.","Restores 1/16 of the user's max HP at the end of each turn.  If the user leaves the field, this effect ends.

This effect is passed on by baton pass."
Levitón,,,status,"Levita gracias a un campo magnético generado por
electricidad durante cinco turnos.","For five turns, the user is immune to ground moves.

If the user is under the effect of ingrain or has levitate, this move will fail.

This effect is temporarily disabled by and cannot be used during gravity.

This effect is passed on by baton pass."
Envite Ígneo,120.0,100.0,physical,"El Pokémon se cubre de llamas y carga contra el
objetivo, aunque él también recibe daños. Puede
quemar.","Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.  Has a 10% chance to burn the target.  Frozen Pokémon may use this move, in which case they will thaw."
Palmeo,60.0,100.0,physical,"Ataca al objetivo con una onda de choque y
puede llegar a paralizarlo.",Inflicts regular damage.  Has a 30% chance to paralyze the target.
Esfera Aural,80.0,,special,"Libera una descarga de la fuerza del aura desde
su interior. Es infalible.",Inflicts regular damage.  Ignores accuracy and evasion modifiers.
Pulimento,,,status,"Reduce la resistencia puliendo su cuerpo. Aumenta
la Velocidad considerablemente.",Raises the user's Speed by two stages.
Puya Nociva,80.0,100.0,physical,"Pincha al objetivo con un tentáculo o brazo
envenenado. Puede llegar a envenenar al objetivo.",Inflicts regular damage.  Has a 30% chance to poison the target.
Pulso Umbrío,80.0,100.0,special,"Libera una horrible aura llena de malos
pensamientos y puede hacer retroceder al objetivo.",Inflicts regular damage.  Has a 20% chance to make the target flinch.
Tajo Umbrío,70.0,100.0,physical,"Ataca al objetivo a la primera oportunidad. Suele
ser crítico.",Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
Acua Cola,90.0,90.0,physical,"Ataca agitando la cola como si fuera una ola
rabiosa en una tormenta devastadora.",Inflicts regular damage.
Bomba Germen,80.0,100.0,physical,"Lanza al objetivo una descarga de semillas
explosivas desde arriba.",Inflicts regular damage.
Tajo Aéreo,75.0,95.0,special,"Ataca con una hoja de aire que incluso corta el
cielo. También puede hacer retroceder al objetivo.",Inflicts regular damage.  Has a 30% chance to make the target flinch.
Tijera X,80.0,100.0,physical,"Cruza las guadañas o las garras para atacar al
objetivo como si fueran unas tijeras.",Inflicts regular damage.
Zumbido,90.0,100.0,special,"El movimiento de las alas crea una onda sónica
dañina. También puede disminuir la Defensa
Especial del objetivo.",Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.
Pulso Dragón,85.0,100.0,special,"Abre mucho la boca y libera una onda de choque
que ataca al objetivo.",Inflicts regular damage.
Carga Dragón,100.0,75.0,physical,"Ataca de forma brutal mientras intimida al objetivo.
También puede hacerlo retroceder.",Inflicts regular damage.  Has a 20% chance to make the target flinch.
Joya de Luz,80.0,100.0,special,"Ataca con un rayo de luz que centellea como si lo
formaran miles de joyas.",Inflicts regular damage.
Puño Drenaje,75.0,100.0,physical,"Un golpe que drena energía. El Pokémon recupera
la mitad de los PS arrebatados al objetivo.",Inflicts regular damage.  Drains half the damage inflicted to heal the user.
Onda Vacío,40.0,100.0,special,"Gira los puños y libera una onda de vacío contra
el objetivo. Este movimiento siempre va primero.",Inflicts regular damage.
Onda Certera,120.0,70.0,special,"Agudiza la concentración mental y libera su poder.
Puede disminuir la Defensa Especial del objetivo.",Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.
Energibola,90.0,100.0,special,"Aúna fuerzas de la naturaleza y libera su ataque.
Puede disminuir la Defensa Especial del objetivo.",Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.
Pájaro Osado,120.0,100.0,physical,"Pliega sus alas y ataca con un vuelo rasante. El
Pokémon que lo usa también resulta seriamente
dañado.",Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.
Tierra Viva,90.0,100.0,special,"La tierra a los pies del objetivo erupciona
violentamente. Puede disminuir la Defensa Especial
del objetivo.",Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.
Trapicheo,,100.0,status,"Intercambia con el objetivo los objetos que llevan
tan rápido que es imposible verlo a simple vista.","User and target permanently swap held items.  Works even if one of the Pokémon isn't holding anything.  If either Pokémon is holding mail, this move will fail.

If either Pokémon has multitype or sticky hold, this move will fail.

If this move results in a Pokémon obtaining choice band, choice scarf, or choice specs, and that Pokémon was the latter of the pair to move this turn, then the move it used this turn becomes its chosen forced move.  This applies even if both Pokémon had a choice item before this move was used.  If the first of the two Pokémon gains a choice item, it may select whatever choice move it wishes next turn.

Neither the user nor the target can recover its item with recycle.

This move cannot be selected by assist or metronome."
Gigaimpacto,150.0,90.0,physical,"Carga contra el objetivo usando toda la fuerza que
tiene. El Pokémon descansa el turno siguiente.","Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn."
Maquinación,,,status,"Estimula su cerebro pensando en cosas malas.
Aumenta considerablemente el Ataque Especial.",Raises the user's Special Attack by two stages.
Puño Bala,40.0,100.0,physical,"Ataca con fuertes puñetazos tan rápidos como
proyectiles. Este movimiento siempre va primero.",Inflicts regular damage.
Alud,60.0,100.0,physical,"Este ataque inflige el doble de daño a un objetivo
que haya golpeado al usuario en ese mismo turno.","Inflicts regular damage.  If the target damaged the user this turn and was the last to do so, this move has double power.

pain split does not count as damaging the user."
Canto Helado,40.0,100.0,physical,"Crea bolas de hielo y las lanza a gran velocidad.
Este movimiento siempre va primero.",Inflicts regular damage.
Garra Umbría,70.0,100.0,physical,"Ataca con una garra afilada hecha de sombras.
Suele ser crítico.",Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
Colmillo Rayo,65.0,95.0,physical,"Usa colmillos electrificados para morder. Puede
hacer que el objetivo retroceda o se paralice.",Inflicts regular damage.  Has a 10% chance to paralyze the target and a separate 10% chance to make the target flinch.
Colmillo Hielo,65.0,95.0,physical,"Usa colmillos helados para morder. Puede hacer
que el objetivo retroceda o se congele.",Inflicts regular damage.  Has a 10% chance to freeze the target and a separate 10% chance to make the target flinch.
Colmillo Ígneo,65.0,95.0,physical,"Usa colmillos en llamas para morder. Puede hacer
que el objetivo retroceda o reciba quemaduras.",Inflicts regular damage.  Has a 10% chance to burn the target and a separate 10% chance to make the target flinch.
Sombra Vil,40.0,100.0,physical,"Extiende su sombra y ataca al objetivo por la
espalda. Este movimiento siempre va primero.",Inflicts regular damage.
Bomba Fango,65.0,85.0,special,"Ataca lanzando una compacta bola de fango.
Puede bajar la Precisión del objetivo.",Inflicts regular damage.  Has a 30% chance to lower the target's accuracy by one stage.
Psicocorte,70.0,100.0,physical,"Ataca al objetivo con cuchillas formadas por
energía psíquica. Suele ser crítico.",Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
Cabezazo Zen,80.0,90.0,physical,"Concentra su energía psíquica en la cabeza para
golpear. Puede hacer que el objetivo retroceda.",Inflicts regular damage.  Has a 20% chance to make the target flinch.
Disparo Espejo,65.0,85.0,special,"El usuario libera un haz de energía desde su
pulido cuerpo. Puede bajar la Precisión.",Inflicts regular damage.  Has a 30% chance to lower the target's accuracy by one stage.
Foco Resplandor,80.0,100.0,special,"El usuario concentra toda la luz del cuerpo y la
libera. Puede bajar la Defensa Especial del
objetivo.",Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.
Treparrocas,90.0,85.0,physical,"Ataca con una gran embestida. Puede confundir al
objetivo.",Inflicts regular damage.  Has a 20% chance to confuse the target.
Despejar,,,status,"Potente viento que barre el Reflejo o Pantalla de
Luz del objetivo y puede reducir su Evasión.","Lowers the target's evasion by one stage.  Clears away fog.  Removes the effects of mist, light screen, reflect, safeguard, spikes, stealth rock, and toxic spikes from the target's side of the field.

If the target is protected by mist, it will prevent the evasion change, then be removed by this move."
Espacio Raro,,,status,"Se crea un espacio extraño en el que los Pokémon
lentos se mueven primero durante cinco turnos.","For five turns (including this one), slower Pokémon will act before faster Pokémon.  Move priority is not affected.  Using this move when its effect is already active will end the effect.

Pokémon holding full incense, lagging tail, or quick claw and Pokémon with stall ignore this effect."
Cometa Draco,130.0,90.0,special,"Hace que grandes cometas caigan del cielo sobre
el objetivo. Baja mucho el Ataque Especial del
que lo usa.","Inflicts regular damage, then lowers the user's Special Attack by two stages."
Chispazo,80.0,100.0,special,"Una deslumbradora onda eléctrica afecta a los
Pokémon que hay combatiendo alrededor. Puede
paralizar.",Inflicts regular damage.  Has a 30% chance to paralyze the target.
Humareda,80.0,100.0,special,"Un infierno de llamas daña a los Pokémon
adyacentes en combate. Puede quemar.",Inflicts regular damage.  Has a 30% chance to burn the target.
Lluevehojas,130.0,90.0,special,"Cae una lluvia de hojas afiladas. Baja mucho el
Ataque Especial de quien lo usa.","Inflicts regular damage, then lowers the user's Special Attack by two stages."
Latigazo,120.0,85.0,physical,"El usuario agita violentamente sus lianas o
tentáculos para golpear al objetivo.",Inflicts regular damage.
Romperrocas,150.0,90.0,physical,"Lanza una piedra enorme contra el objetivo, pero
tiene que descansar el siguiente turno.","Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn."
Veneno X,70.0,100.0,physical,"Tajo que puede envenenar al objetivo. Suele ser
crítico.",Inflicts regular damage.  User's critical hit rate is one level higher when using this move. Has a 10% chance to poison the target.
Lanzamugre,120.0,80.0,physical,"Lanza contra el objetivo basura asquerosa. Puede
envenenar al objetivo.",Inflicts regular damage.  Has a 30% chance to poison the target.
Cabeza de Hierro,80.0,100.0,physical,"Ataca con su dura cabeza de hierro. Puede hacer
que el objetivo retroceda.",Inflicts regular damage.  Has a 30% chance to make the target flinch.
Bomba Imán,60.0,,physical,"Lanza unas bombas de hierro que se pegan al
adversario. No se puede esquivar.",Inflicts regular damage.  Ignores accuracy and evasion modifiers.
Roca Afilada,100.0,80.0,physical,"Clava piedras muy afiladas al objetivo. Suele ser 
crítico.",Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
Seducción,,100.0,status,"Si el objetivo es del sexo opuesto, queda
embelesado y baja mucho su Ataque Especial.","Lowers the target's Special Attack by two stages.  If the user and target are the same gender, or either is genderless, this move will fail."
Trampa Rocas,,,status,"Una trampa de rocas que flota en el aire y daña a
los objetivos que entran en combate.","Spreads sharp rocks around the opposing field, damaging any Pokémon that enters the field for 1/8 its max HP.  This damage is affected by the entering Pokémon's susceptibility to rock moves.

rapid spin removes this effect from its user's side of the field."
Hierba Lazo,,100.0,special,"Enreda al objetivo con hierba y lo derriba.
Cuanto más pesado es el objetivo, más daño
inflige.","Inflicts regular damage.  Power increases with the target's weight in kilograms, to a maximum of 120.

Target's weight | Power
--------------- | ----:
Up to 10kg      |    20
Up to 25kg      |    40
Up to 50kg      |    60
Up to 100kg     |    80
Up to 200kg     |   100
Above 200kg     |   120
"
Cháchara,65.0,100.0,special,"Ataca con una onda sónica compuesta por
palabras que ha aprendido y confunde al objetivo.","Inflicts regular damage.  Has either a 1%, 11%, or 31% chance to confuse the target, based on the volume of the recording made for this move; louder recordings increase the chance of confusion.  If the user is not a chatot, this move will not cause confusion.

This move cannot be copied by mimic, mirror move, or sketch, nor selected by assist, metronome, or sleep talk."
Sentencia,100.0,100.0,special,"Emite incontables haces de luz. Varía según el tipo
de tabla que lleve el usuario.","Inflicts regular damage.  If the user is holding a plate or a drive, this move's type is the type corresponding to that item.

Note: This effect is technically shared by both techno blast and judgment; however, Techno Blast is only affected by drives, and Judgment is only affected by plates."
Picadura,60.0,100.0,physical,"Pica al objetivo. Si el objetivo lleva una baya, el
usuario se la come y se beneficia de su efecto.","Inflicts regular damage.  If the target is holding a berry, this move has double power, and the user takes the berry and uses it immediately.

If the target is holding a jaboca berry or rowap berry, the berry is still removed, but has no effect.

If this move is super effective and the target is holding a berry that can reduce this move's damage, it will do so, and will not be stolen."
Rayo Carga,50.0,90.0,special,"Lanza un rayo eléctrico contra el objetivo. Puede
subir el Ataque Especial de quien lo usa.",Inflicts regular damage.  Has a 70% chance to raise the user's Special Attack by one stage.
Mazazo,120.0,100.0,physical,"Arremete contra el objetivo con su robusto cuerpo.
El agresor también sufre bastante daño.",Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.
Acua Jet,40.0,100.0,physical,Ataque rápido que permite golpear en primer lugar.,Inflicts regular damage.
Al Ataque,90.0,100.0,physical,"El usuario llama a sus súbditos para que ataquen
al objetivo. Suele ser crítico.",Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
A Defender,,,status,"El usuario llama a sus súbditos para que formen
un escudo viviente. Sube la Defensa y la Defensa
Especial.",Raises the user's Defense and Special Defense by one stage.
Auxilio,,,status,"El usuario llama a sus súbditos para que lo curen.
Recupera hasta la mitad de los PS máximos.",Heals the user for half its max HP.
Testarazo,150.0,80.0,physical,"El usuario arriesga su vida y lanza un cabezazo
con toda su fuerza. El agresor resulta seriamente
dañado.",Inflicts regular damage.  User takes 1/2 the damage it inflicts in recoil.
Doble Golpe,35.0,90.0,physical,"Golpea al objetivo dos veces seguidas con la cola
u otras partes de su cuerpo.",Inflicts regular damage.  Hits twice in one turn.
Distorsión,150.0,90.0,special,"Ataca al objetivo usando tal energía que el tiempo
se distorsiona. El usuario descansa el siguiente
turno.","Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn."
Corte Vacío,100.0,95.0,special,"Desgarra al objetivo y el espacio a su alrededor.
Suele ser crítico.",Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
Danza Lunar,,,status,"El usuario se debilita, pero el Pokémon que lo
sustituye recupera su estado, los PS y los PP.","User faints.  Its replacement's HP and PP are fully restored, and any major status effect is removed."
Agarrón,,100.0,physical,"Estruja al objetivo con gran fuerza. Cuantos más
PS le queden al objetivo, más fuerte será el
ataque.","Inflicts regular damage.  Power directly relates to the target's relative remaining HP, given by `1 + 120 * current HP / max HP`, to a maximum of 121."
Lluvia Ígnea,100.0,75.0,special,"El objetivo queda atrapado en una tormenta de
fuego que dura de cuatro a cinco turnos.","Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect."
Brecha Negra,,50.0,status,"El objetivo es enviado a un mundo de tinieblas
que lo hace dormir.",Puts the target to sleep.
Fogonazo,120.0,85.0,special,"Una onda de choque se libera del cuerpo. Puede
bajar mucho la Defensa Especial del objetivo.",Inflicts regular damage.  Has a 40% chance to lower the target's Special Defense by two stages.
Viento Aciago,60.0,100.0,special,"Produce un viento horripilante. Puede subir de
golpe todas las características del usuario.",Inflicts regular damage. Has a 10% chance to raise all of the user's stats one stage.
Golpe Umbrío,120.0,100.0,physical,"En el primer turno, desaparece. En el segundo,
golpea al objetivo aunque se esté protegiendo.","Inflicts regular damage.  User vanishes for one turn, becoming immune to attack, and hits on the second turn.

This move ignores the effects of detect and protect.

This move cannot be selected by sleep talk."
Afilagarras,,,status,"El usuario se afila las garras para aumentar su
Ataque y Precisión.",Raises the user's Attack and accuracy by one stage.
Vastaguardia,,,status,"Bloquea los ataques de objetivo múltiple
lanzados contra tu equipo durante un turno.","Moves with multiple targets will not hit friendly Pokémon for the remainder of this turn.  If the user is last to act this turn, this move will fail.

This move cannot be selected by assist or metronome."
Isoguardia,,,status,"El usuario emplea sus poderes para hacer la media
de su Defensa y Defensa Especial con las de su
objetivo y compartirlas.",Averages the user's unmodified Defense with the target's unmodified Defense; the value becomes the unmodified Defense for both Pokémon. Unmodified Special Defense is averaged the same way.
Isofuerza,,,status,"El usuario emplea sus poderes para hacer la media
de su Ataque y Ataque Especial con los de su
objetivo y compartirlos.","Averages the user's unmodified Attack with the target's unmodified Attack; the value becomes the unmodified Attack for both Pokémon. Unmodified Special Attack is averaged the same way.

This effect applies before any other persistent changes to unmodified Attack or Special Attack, such as flower gift during sunny day."
Zona Extraña,,,status,"Crea una zona misteriosa donde se intercambian
la Defensa y la Defensa Especial de todos los
Pokémon durante cinco turnos.","For five turns (including this one), every Pokémon's Defense and Special Defense are swapped."
Psicocarga,80.0,100.0,special,"Crea una onda psíquica que causa daño físico al
objetivo.","Inflicts regular damage.  Damage calculation always uses the target's Defense, regardless of this move's damage class."
Carga Tóxica,65.0,100.0,special,"Ataca cubriendo al objetivo con un líquido
venenoso. El daño será doble si este ya está
envenenado.","Inflicts regular damage.  If the target is poisoned, this move has double power."
Aligerar,,,status,"El usuario se sacude para hacerse más ligero y
aumentar mucho su Velocidad.",Raises the user's Speed by two stages.  Halves the user's weight; this effect does not stack.
Polvo Ira,,,status,"Usa un polvo que irrita y centra en el usuario la
atención y los ataques de los rivales.","Until the end of this turn, any moves that opposing Pokémon target solely at the user's ally will instead target the user.  If both Pokémon on the same side of the field use this move on the same turn, the Pokémon that uses it last will become the target.

This effect takes priority over lightning rod and storm drain.

If the user's ally switches out, opposing Pokémon may still hit it with pursuit.

This move cannot be selected by assist or metronome."
Telequinesis,,,status,"El usuario emplea su poder mental para hacer
flotar al objetivo, y lo convierte en un blanco
fácil durante tres turnos.","For three turns (including this one), moves used against the target have 100% accuracy, but the target is immune to ground damage.  Accuracy of one-hit KO moves is exempt from this effect.

This effect is removed by gravity.  If Gravity is already in effect, this move will fail."
Zona Mágica,,,status,"Crea un espacio misterioso que inutiliza todos los
objetos de los Pokémon durante cinco turnos.","For five turns (including this one), passive effects of held items are ignored, and Pokémon will not use their held items."
Antiaéreo,50.0,100.0,physical,"El usuario ataca lanzando una piedra o un proyectil.
Puede estrellar contra el suelo al objetivo si vuela.","Inflicts regular damage.  Removes the target's immunity to ground-type damage.  This effect removes any existing Ground immunity due to levitate, magnet rise, or telekinesis, and causes the target's flying type to be ignored when it takes Ground damage.

If the target isn't immune to Ground damage, this move will fail.

This move can hit Pokémon under the effect of bounce, fly, or sky drop, and ends the effect of Bounce or Fly."
Llave Corsé,60.0,100.0,physical,"Lanza un golpe fulminante. Siempre resulta en un
golpe crítico.",Inflicts regular damage.  Always scores a critical hit.
Pirotecnia,70.0,100.0,special,"Golpea al objetivo con una llamarada que afecta
también a los Pokémon adyacentes.","Inflicts regular damage.  If this move successfully hits the target, any Pokémon adjacent to the target are damaged for 1/16 their max HP."
Onda Tóxica,95.0,100.0,special,"Una onda tóxica que daña a los Pokémon de
alrededor. Puede envenenar.",Inflicts regular damage.  Has a 10% chance to poison the target.
Danza Aleteo,,,status,"Danza mística que sube el Ataque Especial, la
Defensa Especial y la Velocidad.","Raises the user's Special Attack, Special Defense, and Speed by one stage each."
Cuerpo Pesado,,100.0,physical,"El usuario golpea con todo su cuerpo. Cuanto
mayor sea su peso comparado con el del objetivo,
más daño causará.","Inflicts regular damage.  The greater the user's weight compared to the target's, the higher power this move has, to a maximum of 120.

User's weight                    | Power
-------------------------------- | ----:
Up to 2× the target's weight     |    40
Up to 3× the target's weight     |    60
Up to 4× the target's weight     |    80
Up to 5× the target's weight     |   100
More than 5× the target's weight |   120
"
Sincrorruido,120.0,100.0,special,"Una extraña onda que daña a todos los Pokémon
adyacentes del mismo tipo que el que la ejecuta.",Inflicts regular damage.  Only Pokémon that share a type with the user will take damage from this move.
Bola Voltio,,100.0,special,"Lanza una bola eléctrica. Cuanto mayor sea la
Velocidad del usuario en comparación con la del
objetivo, mayor será el daño causado.","Inflicts regular damage.  The greater the user's Speed compared to the target's, the higher power this move has, to a maximum of 150.

User's Speed                     | Power
-------------------------------- | ----:
Up to 2× the target's Speed      |    60
Up to 3× the target's Speed      |    80
Up to 4× the target's Speed      |   120
More than 4× the target's Speed  |   150
"
Anegar,,100.0,status,"Potente lluvia que transforma al objetivo en un
Pokémon de tipo Agua.","Changes the target to pure water-type until it leaves the field.  If the target has multitype, this move will fail."
Nitrocarga,50.0,100.0,physical,"Llamas que golpean al objetivo y aumentan la
Velocidad del atacante.",Inflicts regular damage.  Raises the user's Speed by one stage.
Enrosque,,,status,"El usuario se concentra, lo que le permite
aumentar su Ataque, Defensa y Precisión.","Raises the user's Attack, Defense, and accuracy by one stage each."
Puntapié,65.0,100.0,physical,"Ataque rápido dirigido a los pies del objetivo que
le hace perder Velocidad.",Lowers the target's Speed by one stage.
Bomba Ácida,40.0,100.0,special,"Ataca con un líquido corrosivo, reduciendo mucho
la Defensa Especial del objetivo.",Inflicts regular damage.  Lowers the target's Special Defense by two stages.
Juego Sucio,95.0,100.0,physical,"El usuario emplea la fuerza del objetivo para
atacarlo. Cuanto mayor es el Ataque del objetivo,
más daño provoca.",Inflicts regular damage.  Damage is calculated using the target's attacking stat rather than the user's.
Onda Simple,,100.0,status,"Lanza una onda psíquica que hace que la habilidad
del objetivo pase a ser Simple.",Changes the target's ability to simple.
Danza Amiga,,100.0,status,"Una extraña danza que hace que el usuario y el
objetivo tengan la misma habilidad.",Changes the target's ability to match the user's.  This effect ends when the target leaves battle.
Cede Paso,,,status,"Si el usuario es el más rápido, permite al objetivo
usar un movimiento justo tras él, adelantándose a
Pokémon más rápidos.","The target will act next this turn, regardless of Speed or move priority.
If the target has already acted this turn, this move will fail."
Canon,60.0,100.0,special,"Un canto que ataca al objetivo. Cuantos más
Pokémon lo usan, más aumenta de potencia.","Inflicts regular damage.  If round has already been used this turn, this move's power is doubled.  After this move is used, any other Pokémon using it this turn will immediately do so (in the order they would otherwise act), regardless of Speed or priority.  Pokémon using other moves will then continue to act as usual."
Eco Voz,40.0,100.0,special,"Un susurro que aumenta de potencia conforme el
usuario y otros Pokémon lo van utilizando.","Inflicts regular damage.  If any friendly Pokémon used this move earlier this turn or on the previous turn, that use's power is added to this move's power, to a maximum of 200."
Guardia Baja,70.0,100.0,physical,"Un ataque que busca los puntos débiles del
objetivo y puede causarle daño aunque cambien
sus características.","Inflicts regular damage.  Damage calculation ignores the target's stat modifiers, including evasion."
Niebla Clara,50.0,,special,"Ataca al objetivo con una extraña niebla que
elimina sus cambios de características.",Inflicts regular damage.  All of the target's stat modifiers are reset to zero.
Poder Reserva,20.0,100.0,special,"Acumula poder para golpear. Cuanto más suban
las características del usuario, mayor será el daño.","Inflicts regular damage.  Power is increased by 100% its original value for every stage any of the user's stats have been raised.  Accuracy, evasion, and lowered stats do not affect this move's power.  For a Pokémon with all five stats modified to +6, this move's power is 31×."
Anticipo,,,status,"Protege a todo el equipo de los movimientos que
se adelantan y atacan primero.","Moves with priority greater than 0 will not hit friendly Pokémon for the remainder of this turn.  If the user is last to act this turn, this move will fail.

This move cannot be selected by assist or metronome."
Cambio de Banda,,,status,"Extraño poder que intercambia la posición del
usuario con la de un aliado sobre el terreno de
combate.","User switches position on the field with the friendly Pokémon opposite it.  If the user is in the middle position in a triple battle, or there are no other friendly Pokémon, this move will fail."
Escaldar,80.0,100.0,special,"Ataca arrojando agua hirviendo al objetivo.
Puede causar quemaduras.",Inflicts regular damage.  Has a 30% chance to burn the target.
Rompecoraza,,,status,"El usuario rompe su coraza y baja su Defensa y
Defensa Especial, pero aumenta mucho su Ataque,
Ataque Especial y Velocidad.","Raises the user's Attack, Special Attack, and Speed by two stages each.  Lowers the user's Defense and Special Defense by one stage each."
Pulso Cura,,,status,"Una onda curativa restaura los PS del objetivo a la
mitad de su máximo.",Heals the target for half its max HP.
Infortunio,65.0,100.0,special,"Ataque que causa un gran daño a los objetivos
que sufren problemas de estado.","Inflicts regular damage.  If the target has a major status ailment, this move has double power."
Caída Libre,60.0,100.0,physical,"Primer turno: lanza al objetivo al aire. Segundo
turno: lo hace caer. Mientras está en el aire, no lo
deja moverse.","Inflicts regular damage.  User carries the target high into the air for one turn, during which no moves will hit either Pokémon and neither can act.  On the following turn, the user drops the target, inflicting damage and ending the effect.

If the target is flying-type, this move will function as normal but inflict no damage.

gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind can hit both the user and the target during this effect.  gust and twister will additionally have double power.

The damage from hail and sandstorm still applies during this effect.

Either Pokémon may be hit during this effect if also under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk.

*Bug*: If gravity is used during a double or triple battle while this move is in effect, this move is not correctly canceled on the target, and it remains high in the air indefinitely.  As this move prevents the target from acting, the only way to subsequently remove it from the field is to faint it."
